Giovedì ( On Thursday),gioco sul telefonino ( I play on the phone),all'una ( at 1 o'clock)
Venerdì ( On Friday),guardo la televisione ( I watch TV),verso l'una ( around 1 o'clock)
Martedì ( On Tuesday),Giovedì ( On Thursday),alle due ( 2 o'clock)
,Venerdì ( On Friday),all'una ( at 1 o'clock)
,alle cinque ( 5 o'clock),verso l'una ( around 1 o'clock)
,,alle due ( 2 o'clock)
,,all'una ( at 1 o'clock)
,,verso l'una ( around 1 o'clock)
,,alle due ( 2 o'clock)
,,all'una ( at 1 o'clock)
,,verso l'una ( around 1 o'clock)
,,alle due ( 2 o'clock)
,,all'una ( at 1 o'clock)
,,verso l'una ( around 1 o'clock)
,,alle due ( 2 o'clock)
,,all'una ( at 1 o'clock)
,,verso l'una ( around 1 o'clock)
,,alle due ( 2 o'clock)
,,all'una ( at 1 o'clock)
,,verso l'una ( around 1 o'clock)
,,alle due ( 2 o'clock)
