Di solito ( Usually),ceno ( I have dinner), a las tres (at three)
Normalmente ( Normally),esco di casa ( I leave my house), a las cuatro (at four)
La mattina ( In the morning),faccio colazione ( I have breakfast),all'una ( at 1 o'clock)
Il pomeriggio ( In the afternoon),faccio i compiti ( I do my homework),verso l'una ( around 1 o'clock)
La sera ( In the evening),faccio la doccia ( I shower),alle due ( 2 o'clock)
Lunedì ( On Monday),gioco sul telefonino ( I play on the phone),alle cinque ( 5 o'clock)
Martedì ( On Tuesday),guardo la televisione ( I watch TV),alle sette ( 7 o'clock)
Mercoledì ( On Wednesday),mi alzo ( I get up), a las ocho (at eight)
Giovedì ( On Thursday),mi riposo ( I relax), a las cinco (at five)
Venerdì ( On Friday),pranzo ( I have lunch), a a las once ( at eleven)
